City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
198,coahuayana,18.7333,-103.6833,33.39,44,0,4.15,MX,2023-04-16 20:55:20
199,keuruu,62.2667,24.7,-0.9,99,100,1.28,FI,2023-04-16 21:03:59
200,salalah,17.0151,54.0924,28.05,78,20,2.06,OM,2023-04-16 21:03:59
201,jumla,29.2747,82.1838,9.45,55,5,1.96,NP,2023-04-16 21:03:59
202,yulara,-25.2406,130.9889,12.3,61,0,3.55,AU,2023-04-16 21:04:00
203,katsuura,35.1333,140.3,15.01,71,43,6.53,JP,2023-04-16 21:03:36
204,coro,11.4045,-69.6734,28.68,64,100,9.77,VE,2023-04-16 21:04:00
205,kruisfontein,-34.0033,24.7314,12.71,80,0,1.67,ZA,2023-04-16 21:04:00
206,yakeshi,49.2833,120.7333,3.84,35,100,3.05,CN,2023-04-16 20:54:55
207,bam,29.106,58.357,24.44,13,99,5.71,IR,2023-04-16 21:04:00
208,hambantota,6.1241,81.1185,26.2,82,6,1.36,LK,2023-04-16 21:04:01
209,mehendiganj,22.8167,90.5333,27.16,83,23,2.88,BD,2023-04-16 21:04:01
210,micomeseng,2.1462,10.6164,20.76,99,100,1.32,GQ,2023-04-16 21:04:01
211,waddan,29.1614,16.139,21.8,27,0,1.72,LY,2023-04-16 21:04:01
212,kokoda,-8.8785,147.7407,22.74,85,100,0.94,PG,2023-04-16 21:04:02
213,necochea,-38.5473,-58.7368,13.57,64,4,3.7,AR,2023-04-16 21:04:02
214,gimli,50.6336,-96.9907,2.01,64,0,6.69,CA,2023-04-16 21:04:03
215,vanavara,60.34,102.2797,-15.06,96,100,1.02,RU,2023-04-16 20:54:24
216,tuktoyaktuk,69.4541,-133.0374,-9.0,79,75,3.09,CA,2023-04-16 21:03:16
217,isangel,-19.55,169.2667,27.61,85,100,7.59,VU,2023-04-16 21:04:04
218,olbia,40.9214,9.4856,11.03,62,0,3.09,IT,2023-04-16 21:04:04
219,fereydunshahr,32.941,50.121,6.64,47,83,1.69,IR,2023-04-16 21:04:05
220,sanary-sur-mer,43.1178,5.8001,14.78,65,0,2.62,FR,2023-04-16 21:04:05
221,ilulissat,69.2167,-51.1,-2.99,80,100,3.09,GL,2023-04-16 21:04:06
222,matane,48.8286,-67.522,6.29,79,73,5.65,CA,2023-04-16 21:02:39
223,guerrero negro,27.9769,-114.0611,18.82,62,24,7.46,MX,2023-04-16 21:04:06
224,souillac,-20.5167,57.5167,25.21,88,40,1.03,MU,2023-04-16 21:04:06
225,gampaha,7.0897,79.9925,25.96,94,20,1.03,LK,2023-04-16 21:04:07
226,krasnoselkup,65.7,82.4667,-19.09,90,37,5.86,RU,2023-04-16 21:04:07
227,marzuq,14.4,46.4667,23.44,43,1,2.49,YE,2023-04-16 21:04:07
228,caraquet,47.7941,-64.9386,6.3,74,25,3.06,CA,2023-04-16 21:04:08
229,kavieng,-2.5744,150.7967,27.45,79,100,3.35,PG,2023-04-16 21:04:09
230,fuerte olimpo,-21.0415,-57.8738,26.66,82,27,1.83,PY,2023-04-16 21:04:09
231,najran,17.4924,44.1277,20.36,49,25,0.24,SA,2023-04-16 21:04:09
232,perth,-31.9333,115.8333,13.15,96,0,2.57,AU,2023-04-16 21:04:09
233,boquira,-12.8231,-42.7306,28.57,36,84,1.68,BR,2023-04-16 21:04:10
